"id","city_id","type_id","total_area","rooms","ceiling_height","floors_total","living_area","floor","is_apartment","open_plan","kitchen_area","balcony","airports_nearest","parks_around3000","ponds_around3000"
0,"6X8I",F8EM,108.0,3,2.7,16.0,51.0,8,0,0,25.0,,18863.0,1.0,2.0
1,FMVZ,IZIQ,40.4,1,,11.0,18.6,1,0,0,11.0,2.0,12817.0,0.0,0.0
2,"6X8I",F8EM,56.0,2,,5.0,34.3,4,0,0,8.3,0.0,21741.0,1.0,2.0
3,"6X8I",F8EM,159.0,3,,14.0,,9,0,0,,0.0,28098.0,2.0,3.0
4,"6X8I",F8EM,100.0,2,3.03,14.0,32.0,13,0,0,41.0,,31856.0,2.0,1.0
5,IVEB,LVBX,30.4,1,,12.0,14.4,5,0,0,9.1,,,,
6,"4T1U",IZIQ,37.3,1,,26.0,10.6,6,0,0,14.4,1.0,52996.0,0.0,0.0
7,"6X8I",F8EM,71.6,2,,24.0,,22,0,0,18.9,2.0,23982.0,0.0,0.0
8,"187Y",IZIQ,33.16,1,,27.0,15.43,26,0,0,8.81,,,,
9,"6X8I",F8EM,61.0,3,2.5,9.0,43.6,7,0,0,6.5,2.0,50898.0,0.0,0.0
10,"6X8I",F8EM,39.6,1,2.67,12.0,20.3,3,0,0,8.5,,38357.0,1.0,2.0
11,"3I7C",F8EM,44.0,2,,5.0,31.0,4,0,0,6.0,1.0,48252.0,0.0,0.0
12,"3SXT",F8EM,54.0,2,,5.0,30.0,5,0,0,9.0,0.0,,,
13,YVBQ,F8EM,42.8,2,2.56,5.0,27.0,5,0,0,5.2,1.0,37868.0,1.0,3.0
14,VLGF,F8EM,36.0,1,,6.0,17.0,1,0,0,8.0,0.0,20782.0,0.0,1.0
15,"6X8I",F8EM,39.0,1,,14.0,20.5,5,0,0,7.6,1.0,12900.0,1.0,1.0
16,"6X8I",F8EM,82.0,3,3.05,5.0,55.6,1,0,0,9.0,,22108.0,3.0,0.0
17,"6X8I",F8EM,36.0,1,,17.0,16.5,7,0,0,11.0,1.0,33564.0,0.0,1.0
18,"6X8I",F8EM,31.0,1,2.5,5.0,19.4,2,0,0,5.6,1.0,44060.0,1.0,0.0
19,"6X8I",F8EM,121.0,3,2.75,16.0,76.0,8,0,0,12.0,,38900.0,0.0,0.0
20,"4T1U",IZIQ,80.0,3,2.7,27.0,48.0,11,0,0,12.0,2.0,53134.0,0.0,0.0
21,"6X8I",F8EM,31.6,1,,5.0,16.9,2,0,0,5.7,1.0,36064.0,1.0,0.0
22,"4KU1","9N9J",58.0,2,2.75,25.0,30.0,15,0,0,11.0,2.0,,,
23,"6X8I",F8EM,32.0,1,2.6,9.0,17.7,9,0,0,6.1,,15414.0,2.0,1.0
24,"6X8I",F8EM,97.2,2,,3.0,46.5,1,0,0,19.6,0.0,20052.0,3.0,3.0
25,"6X8I",F8EM,76.0,2,2.75,23.0,39.0,18,0,0,15.0,2.0,34967.0,0.0,1.0
26,"6X8I",F8EM,60.0,4,,5.0,43.0,4,0,0,7.0,,11580.0,0.0,1.0
27,"6X8I",F8EM,70.0,3,2.6,17.0,49.0,11,0,0,9.2,0.0,29197.0,2.0,1.0
28,VLGF,F8EM,44.0,1,2.9,6.0,20.8,1,0,0,11.7,1.0,18557.0,0.0,1.0
29,"6X8I",F8EM,100.0,3,,19.0,52.0,15,0,0,11.0,0.0,30394.0,1.0,1.0
30,T0TI,F8EM,32.8,1,,9.0,,2,0,0,,,,,
31,"6X8I",F8EM,67.9,2,2.8,16.0,38.1,4,0,0,13.4,2.0,32888.0,0.0,0.0
32,"6X8I",F8EM,60.0,3,,5.0,39.0,4,0,0,6.0,0.0,11349.0,0.0,1.0
33,FJEG,F8EM,73.0,4,,9.0,51.6,5,0,0,6.5,,26535.0,0.0,0.0
34,"6X8I",F8EM,33.0,1,2.55,16.0,14.0,3,0,0,8.0,,13943.0,0.0,0.0
35,"6X8I",F8EM,149.0,5,,5.0,104.0,4,0,0,17.0,,23670.0,0.0,1.0
36,"6X8I",F8EM,45.0,2,,9.0,27.0,9,0,0,6.3,2.0,49574.0,1.0,0.0
37,"0OVA",EQUI,45.8,2,2.5,5.0,,1,0,0,,,,,
38,"187Y",IZIQ,40.0,1,2.75,18.0,16.3,9,0,0,11.6,,,,
39,"6X8I",F8EM,54.4,2,2.75,9.0,29.7,2,0,0,8.8,2.0,13413.0,0.0,1.0
40,"4T1U",IZIQ,36.0,1,2.6,26.0,15.0,22,0,0,10.0,2.0,52996.0,0.0,0.0
41,"6X8I",F8EM,74.0,3,,14.0,59.0,8,0,0,12.0,5.0,37715.0,1.0,1.0
42,YVBQ,F8EM,161.8,4,2.8,4.0,80.9,2,0,0,17.6,5.0,35416.0,2.0,1.0
43,"6X8I",F8EM,48.0,2,3.0,4.0,28.0,4,0,0,7.5,,15016.0,0.0,1.0
44,"6X8I",F8EM,40.0,1,,22.0,,3,0,0,,1.0,30471.0,1.0,1.0
45,"6X8I",F8EM,50.6,2,2.65,9.0,30.3,7,0,0,7.0,,30011.0,0.0,0.0
46,"6X8I",F8EM,52.1,2,2.6,24.0,29.7,9,0,0,8.3,2.0,15114.0,0.0,0.0
47,R9I0,F8EM,56.1,3,,4.0,42.5,3,0,0,5.7,1.0,,,
48,"6X8I",F8EM,33.83,1,,24.0,15.35,6,0,0,9.5,,21460.0,0.0,1.0
49,"6X8I",F8EM,30.8,1,2.5,9.0,18.0,7,0,0,6.0,,45341.0,1.0,0.0
50,VLGF,F8EM,48.2,1,2.7,5.0,25.4,4,0,0,9.0,1.0,19841.0,1.0,3.0
51,"6X8I",F8EM,161.0,3,3.2,8.0,38.0,4,0,0,50.0,,32537.0,0.0,3.0
52,"6X8I",F8EM,136.0,6,3.0,2.0,94.0,2,0,0,11.0,1.0,16510.0,1.0,0.0
53,"4T1U",IZIQ,39.1,1,,25.0,15.4,13,0,0,15.5,2.0,52611.0,0.0,0.0
54,"6X8I",F8EM,36.5,1,,24.0,14.0,6,0,0,12.0,0.0,33331.0,0.0,0.0
55,"6X8I",F8EM,58.8,2,2.6,10.0,33.7,9,0,0,10.7,,10643.0,0.0,1.0
56,"6X8I",F8EM,41.0,1,2.8,7.0,18.1,4,0,0,11.1,2.0,13772.0,1.0,1.0
57,FMVZ,IZIQ,45.0,1,,25.0,17.0,10,0,0,12.0,,13097.0,0.0,1.0
58,"6X8I",F8EM,33.0,1,2.6,9.0,19.0,5,0,0,7.0,,12988.0,0.0,2.0
59,"6X8I",F8EM,46.5,1,,13.0,,13,0,0,,,11125.0,0.0,0.0
60,"187Y",IZIQ,35.0,1,,12.0,,8,0,0,,,,,
61,"6X8I",F8EM,74.0,2,,4.0,43.0,4,0,0,20.0,,22568.0,1.0,0.0
62,"3SXT",F8EM,78.6,3,2.8,9.0,48.8,5,0,0,11.9,2.0,,,
63,"6X8I",F8EM,118.0,3,3.0,9.0,68.0,7,0,0,16.0,,26055.0,1.0,1.0
64,R9I0,F8EM,44.3,2,2.5,5.0,29.0,5,0,0,5.3,,,,
